Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
48h Ctrl,0.0,85.65811297695333,37.00202592628966,15
48h Ctrl,1.0,70.91792627007501,38.257281153558054,4
48h Ctrl,0.5,202.7540989045375,35.56071290910933,8
48h Ctrl,0.8,123.54925696989999,17.631164031443515,3
48h Ctrl,0.2,169.2641426103286,75.03419393198072,7
48h SB43,0.0,10.831895677345448,3.3543490519433026,11
48h SB43,1.0,93.37047334655715,13.771462593642427,7
48h SB43,0.5,66.78567952220001,17.710500519770854,5
48h SB43,0.8,82.47703903835,22.479875394271474,8
48h SB43,0.2,35.34185474571667,8.776989329158992,6
48h XAV,0.0,8.110744158075,5.448699837809867,12
48h XAV,1.0,51.75755496366667,13.374697742970246,6
48h XAV,0.5,79.17129927635713,15.197284527165767,7
48h XAV,0.8,73.50886026767999,27.104952559828362,5
48h XAV,0.2,36.064023570728565,17.547579645565428,7
