,area,perimeter,input_file,mask_file,eccentricity,major_axis_length,minor_axis_length,elliptical_fourier_transform
0,110361,1594.492424049175,20200227_06H_001_g06H.tif,result_segmentation\20200227_06H_001_g06H_finalMask.tif,0.856039051187621,533.7351738527839,275.89366553058954,0.0
1,104863,1622.1492782986675,20200227_06H_002_g06H.tif,result_segmentation\20200227_06H_002_g06H_finalMask.tif,0.8488300616578793,516.171132077798,272.88202366459603,0.0
2,110978,1679.8061325481597,20200227_06H_003_g06H.tif,result_segmentation\20200227_06H_003_g06H_finalMask.tif,0.8444655452377188,525.948832163663,281.703390563531,0.0
3,103209,1604.1492782986675,20200227_06H_004_g06H.tif,result_segmentation\20200227_06H_004_g06H_finalMask.tif,0.8472906758597998,508.1407164959592,269.88850785864815,0.0
4,92572,1546.7350647362941,20200227_06H_005_g06H.tif,result_segmentation\20200227_06H_005_g06H_finalMask.tif,0.8598680870849463,492.6280673836213,251.4946487064938,0.0
5,89008,1494.492424049175,20200227_06H_006_g06H.tif,result_segmentation\20200227_06H_006_g06H_finalMask.tif,0.8523028391657177,476.41896866026195,249.1902893215471,0.0
6,114579,1626.3919189857866,20200227_06H_007_g06H.tif,result_segmentation\20200227_06H_007_g06H_finalMask.tif,0.8195933717705637,510.69075716664383,292.5980420628206,0.0
7,92719,1472.3919189857866,20200227_06H_008_g06H.tif,result_segmentation\20200227_06H_008_g06H_finalMask.tif,0.8267984164976194,460.26692684189214,258.89938065843086,0.0
8,86605,1442.8355697996826,20200227_06H_009_g06H.tif,result_segmentation\20200227_06H_009_g06H_finalMask.tif,0.829066452690637,449.85622918929835,251.53714857475057,0.0
9,109745,1591.462986797652,20200227_06H_010_g06H.tif,result_segmentation\20200227_06H_010_g06H_finalMask.tif,0.8115252611965835,499.83780763834943,292.063896742931,0.0
10,111093,1570.492424049175,20200227_06H_011_g06H.tif,result_segmentation\20200227_06H_011_g06H_finalMask.tif,0.7912170928146254,488.32251281343866,298.62648986104335,0.0
11,109446,1568.1492782986675,20200227_06H_012_g06H.tif,result_segmentation\20200227_06H_012_g06H_finalMask.tif,0.8034001738532616,493.3527193713246,293.76168100755706,0.0
12,106739,1543.3208511739213,20200227_06H_013_g06H.tif,result_segmentation\20200227_06H_013_g06H_finalMask.tif,0.8014430642443467,488.51378655976697,292.1659671231353,0.0
13,88603,1372.6934341759516,20200227_06H_014_g06H.tif,result_segmentation\20200227_06H_014_g06H_finalMask.tif,0.7873411596705139,429.77160244356577,264.96173847599755,0.0
14,103054,1496.2497833620557,20200227_06H_015_g06H.tif,result_segmentation\20200227_06H_015_g06H_finalMask.tif,0.8071599942469944,482.0937956311312,284.5957512185357,0.0
15,108303,1495.764501987817,20200227_06H_016_g06H.tif,result_segmentation\20200227_06H_016_g06H_finalMask.tif,0.7631299998652455,464.3335431303449,300.07323175886705,0.0
16,104149,1468.9360748630709,20200227_06H_017_g06H.tif,result_segmentation\20200227_06H_017_g06H_finalMask.tif,0.7508684120738621,447.86998004786943,295.7965506369575,0.0
17,104864,1486.5929291125633,20200227_06H_018_g06H.tif,result_segmentation\20200227_06H_018_g06H_finalMask.tif,0.7641440146788281,456.92706688784256,294.7388289927898,0.0
18,104163,1473.1787155501902,20200227_06H_019_g06H.tif,result_segmentation\20200227_06H_019_g06H_finalMask.tif,0.7365481946162828,446.23915223770246,301.82949827303827,0.0
