,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,48h control,1.0,137.02647061415,20.63947528015001,2
1,48h control,0.8,141.00261083265,59.88354585449644,6
2,48h control,0.5,127.34243023784998,43.032359611166775,4
3,48h control,0.2,137.5352360019,0.0,1
4,48h control,0.0,5.356893558225001,9.116130776955204,12
0,48h XAV,1.0,57.824685247599994,17.828389301494695,3
1,48h XAV,0.8,81.07654892667499,8.076152599010305,4
2,48h XAV,0.5,65.7901947649,17.303677030340783,6
3,48h XAV,0.2,37.831185781399995,4.688462540399996,2
4,48h XAV,0.0,-3.629708207012502,1.8902132311711224,8
