Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
72h Ctrl,0.0,81.34451240534666,25.313454808783632,15
72h Ctrl,1.0,-4.692628176712503,2.850618552471751,8
72h Ctrl,0.5,31.71338703917143,20.825640887506207,7
72h Ctrl,0.8,4.794150664225004,4.050401505320173,8
72h Ctrl,0.2,62.84123478525714,21.153210650191728,7
72h SB43,0.0,-2.237443996253332,1.8683178236465443,15
72h SB43,1.0,-2.745510486937494,3.3273298787457373,8
72h SB43,0.5,-1.609790743362499,1.122070999421953,8
72h SB43,0.8,-3.6356699937999934,3.300138546177174,8
72h SB43,0.2,-4.358922279366671,3.0212230948916434,6
72h XAV,0.0,10.897463816306669,15.065966987447744,15
72h XAV,1.0,-4.760584067912497,2.478293738121793,8
72h XAV,0.5,6.897802346875,7.05636982086544,8
72h XAV,0.8,-5.559159680628568,1.5844545621523893,7
72h XAV,0.2,4.5137231708749965,7.921979823177204,8


