,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h control,1.0,294.6080424923667,80.4583820685633,3
1,24h control,0.8,366.160998807175,53.99079611642985,4
2,24h control,0.5,302.5410108848,0.0,1
3,24h control,0.2,165.161908028525,41.455821598510006,4
4,24h control,0.0,35.486083441800005,19.185334087088258,5
0,24h PDO3,1.0,394.94111500049996,15.50112338966106,4
1,24h PDO3,0.8,385.58852454775,4.381981019649999,2
2,24h PDO3,0.5,245.30617446692003,79.33418527210124,5
3,24h PDO3,0.2,139.35403211613337,27.063802389636386,6
4,24h PDO3,0.0,23.643777544983337,9.396177941735298,6
