,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h control,1.0,208.46973373165002,15.216901662649988,2
1,24h control,0.8,177.09714950685,53.61511780128022,6
2,24h control,0.5,153.89258222215,28.77478593662487,4
3,24h control,0.2,155.5346521832,0.0,1
4,24h control,0.0,-7.119549123508338,10.566206418202091,12
0,24h XAV,1.0,190.48893821563334,69.32812961950218,3
1,24h XAV,0.8,241.51249460117504,35.37861056662916,4
2,24h XAV,0.5,158.9265487874667,28.41888399057532,6
3,24h XAV,0.2,115.97863857985,15.299594530449994,2
4,24h XAV,0.0,-2.7401532858874944,1.8919242175323407,8
