,Condition,GFP fraction,GFP fluo,GFP fluo SD,Num samples
0,24h Ctrl,0.0,19.153411680733335,6.630445735937503,15
1,24h Ctrl,1.0,255.61358887005,60.63356265802963,4
2,24h Ctrl,0.5,179.51559487778752,17.33163500301662,8
3,24h Ctrl,0.8,258.8740851965334,59.64050158706338,3
4,24h Ctrl,0.2,102.30353571504286,16.32601738829352,7
0,24h XAV,0.0,16.805908287791663,4.637439513692685,12
1,24h XAV,1.0,317.83028344405005,52.03472219770797,6
2,24h XAV,0.5,198.1405125830857,30.617273035224063,7
3,24h XAV,0.8,302.81702276299995,90.51438248467987,5
4,24h XAV,0.2,107.09695810757144,25.738900584085002,7
